Product_Name,Category,Brand,Description,List_Price,Sale_Price,Available,Product_Url
"Business Essentials 8"" x 8"" x 5"" Corrugated Mailers, 12-Pack",Office|Shipping & Moving|Moving Boxes & Kits|Packing & Shipping Boxes,Business Essentials,"Use Business Essentials corrugated mailers to organize, protect, package, or ship most any item. Hundreds of different sizes and quantities to choose from. Also known as literature mailers. Used maining as shipping boxes or mailing boxes. Also used with packaging your business' products for resale. Select a size and quantity using the drop down menu within this listing. The first number represents the width of the front end of the box. The second number represents the length, front to back. The third number represents the box depth. Available pack quantities start at 12 pieces. Boxes are manufactured from standard, 32ECT strength material.|Bauxko",31.16,31.16,False,https://www.walmart.com/ip/Business-Essentials-8-x-8-x-5-Corrugated-Mailers-12-Pack/626014175
"Business Essentials 8"" x 8"" x 5"" Corrugated Mailers, 12-Pack",Office|Shipping & Moving|Moving Boxes & Kits|Packing & Shipping Boxes,Business Essentials,"Use Business Essentials corrugated mailers to organize, protect, package, or ship most any item. Hundreds of different sizes and quantities to choose from. Also known as literature mailers. Used maining as shipping boxes or mailing boxes. Also used with packaging your business' products for resale. Select a size and quantity using the drop down menu within this listing. The first number represents the width of the front end of the box. The second number represents the length, front to back. The third number represents the box depth. Available pack quantities start at 12 pieces. Boxes are manufactured from standard, 32ECT strength material.|Bauxko",51.23,51.23,False,https://www.walmart.com/ip/Business-Essentials-8-x-8-x-5-Corrugated-Mailers-12-Pack/626014175
"Business Essentials 8"" x 8"" x 5"" Corrugated Mailers, 12-Pack",Office|Shipping & Moving|Moving Boxes & Kits|Packing & Shipping Boxes,Business Essentials,"Use Business Essentials corrugated mailers to organize, protect, package, or ship most any item. Hundreds of different sizes and quantities to choose from. Also known as literature mailers. Used maining as shipping boxes or mailing boxes. Also used with packaging your business' products for resale. Select a size and quantity using the drop down menu within this listing. The first number represents the width of the front end of the box. The second number represents the length, front to back. The third number represents the box depth. Available pack quantities start at 12 pieces. Boxes are manufactured from standard, 32ECT strength material.|Bauxko",55.63,55.63,False,https://www.walmart.com/ip/Business-Essentials-8-x-8-x-5-Corrugated-Mailers-12-Pack/626014175
Rosalind Wheeler Wall Mounted Bulletin Board,Office|Boards & Easels|Bulletin Boards,Rosalind Wheeler,Features: -Made in the USA. -Drywall screws and anchors provided. -Vertical and horizontal cleat hardware installed. -Handcrafted. -Reversible: No. Product Type: -Bulletin Board. Surface Material: -Cork. Country of Manufacture: -United States. Installation: -Wall Mounted. Finish: -Cracked Bronze. Frame Material: -Wood. Style (Old): -Traditional. Dimensions: Size 2' H x 1' 6&quot; W - Overall Height - Top to Bottom: -24&quot;. Size 2' H x 1' 6&quot; W - Overall Product Weight: -17 lbs. Size 2' 6&quot; H x 1' 6&quot; W - Overall Height - Top to Bottom: -30&quot;. Size 2' 6&quot; H x 1' 6&quot; W - Overall Product Weight: -20 lbs. Size 3' H x 1' 6&quot; W - Overall Height - Top to Bottom: -36&quot;. Size 3' H x 1' 6&quot; W - Overall Product Weight: -23 lbs. Size 3' 6&quot; H x 1' 6&quot; W - Overall Height - Top to Bottom: -42&quot;. Size 3' 6&quot; H x 1' 6&quot; W - Overall Width - Side to Side: -18&quot;. Size 3' 6&quot; H x 1' 6&quot; W - Overall Depth - Front to Back: -0.75&quot;. Size 3' 6&quot; H x 1' 6&quot; W - Overall Product Weight: -25 lbs.|RSWH6357 Features Made in the USA Drywall screws and anchors provided Vertical and horizontal cleat hardware installed Handcrafted Reversible: No Product Type: Bulletin Board Surface Material: Cork Country of Manufacture: United States Installation: Wall Mounted Finish: Cracked Bronze Frame Material: Wood Style (Old): Traditional Dimensions Size 2' H x 1' 6&quot; W Overall Height - Top to Bottom: 24&quot; Overall Product Weight: 17 lbs Size 2' 6&quot; H x 1' 6&quot; W Overall Height - Top to Bottom: 30&quot; Overall Product Weight: 20 lbs Size 3' H x 1' 6&quot; W Overall Height - Top to Bottom: 36&quot; Overall Product Weight: 23 lbs Size 3' 6&quot; H x 1' 6&quot; W Overall Height - Top to Bottom: 42&quot; Overall Width - Side to Side: 18&quot; Overall Depth - Front to Back: 0.75&quot; Overall Product Weight: 25 lbs ,240.31,240.31,False,https://www.walmart.com/ip/Rosalind-Wheeler-Wall-Mounted-Bulletin-Board/396191875
6 1/4 x 6 1/4 Gatefold Invitation - Mandarin Orange (500 Qty.),Office|Envelopes & Mailing Supplies|Envelopes,Envelopes.com,"Announce your event using a classic Gatefold style invitation! The stock is scored so the gate doors meet perfectly in the middle, opening to reveal your invitation. For endless possibilities, position your invitation and add a Layer Card to show your own unique style.| Envelopes.com 6-1/4&quot; x 6-1/4&quot; Gatefold Invitation: Size: 6-1/4&quot; x 6-1/4&quot; Paper weight: 105 lb ",65.95,65.95,False,https://www.walmart.com/ip/6-1-4-x-6-1-4-Gatefold-Invitation-Mandarin-Orange-500-Qty/54518928
Areo Home Wall Bubble Terrarium,Home|Decor|Art & Wall Decor|Wall Decor,Areo Home,Display succulents in the Areo Home Wall Bubble Terrarium to add a boho vibe to your decor. This terrarium features a clear glass construction in a bubble shape. Areo Home| Dimensions: 6L x 4W x 6H in. Clear glass construction Contemporary style Bubble shape Weight: 0.92 lbs. ,81.99,36.96,False,https://www.walmart.com/ip/HomArt-Wall-Bubble-Terrarium/827230818
STC211 30 Inch x 24 Inch 3.1 Mil Open End Transparent Static Shielding Poly Bags CASE OF 100,Industrial & Scientific|All Industrial,," Printed Open End Static Shielding Bags Faraday Cage effect shields electronic components from damage due to static discharge. Transparent metal bags are printed with ESD warning symbol and date coded for QC traceability. Four layer construction for puncture and tear resistance. Meets EIA 625, MIL-HDBK-263, MIL-STD-1686 and EOS/ESD standards. | 3.1 Mil Open End Transparent Static Shielding Poly Bags Static Shielding Bags Size :-- 30 Inch x 24 Inch SKU :--STC211 Groccery Bags Polyethylene Plastic Poly Bags Food Storage Bag Made In USA ",100.56,100.56,False,https://www.walmart.com/ip/STC211-30-Inch-x-24-Inch-3-1-Mil-Open-End-Transparent-Static-Shielding-Poly-Bags-CASE-OF-100/542591083
"Business Essentials 8"" x 8"" x 5"" Corrugated Mailers, 12-Pack",Office|Shipping & Moving|Moving Boxes & Kits|Packing & Shipping Boxes,Business Essentials,"Use Business Essentials corrugated mailers to organize, protect, package, or ship most any item. Hundreds of different sizes and quantities to choose from. Also known as literature mailers. Used maining as shipping boxes or mailing boxes. Also used with packaging your business' products for resale. Select a size and quantity using the drop down menu within this listing. The first number represents the width of the front end of the box. The second number represents the length, front to back. The third number represents the box depth. Available pack quantities start at 12 pieces. Boxes are manufactured from standard, 32ECT strength material.|Bauxko",34.94,34.94,False,https://www.walmart.com/ip/Business-Essentials-8-x-8-x-5-Corrugated-Mailers-12-Pack/626014175
"Business Essentials 8"" x 8"" x 5"" Corrugated Mailers, 12-Pack",Office|Shipping & Moving|Moving Boxes & Kits|Packing & Shipping Boxes,Business Essentials,"Use Business Essentials corrugated mailers to organize, protect, package, or ship most any item. Hundreds of different sizes and quantities to choose from. Also known as literature mailers. Used maining as shipping boxes or mailing boxes. Also used with packaging your business' products for resale. Select a size and quantity using the drop down menu within this listing. The first number represents the width of the front end of the box. The second number represents the length, front to back. The third number represents the box depth. Available pack quantities start at 12 pieces. Boxes are manufactured from standard, 32ECT strength material.|Bauxko",43.82,43.82,False,https://www.walmart.com/ip/Business-Essentials-8-x-8-x-5-Corrugated-Mailers-12-Pack/626014175
Eye Buy Express Kids Childrens Reading Glasses Pink Oval Round Rectangular Anti Glare grade sk9019,Health|Home Health Care|Daily Living Aids,Eye Buy Express,"Pastel pink oval reading glasses for children. These glasses have a glossy pastel pink finish throughout with matching built-in nose pieces, and glossy silver spring hinges for extra flexibility leading into matching built-in ear pieces. These frames have a unique rouded shape and color that's perfect for any kid looking for something cool and comfortable.| Always custom made to your individual order specifications in our FDA Listed Lab with the remarkable Optical grade Custom frames and Lenses available. Better style better grade and always less than retail. Rx lens included! Glasses come with a Hard protective case and micro fiber cleaning cloth. Very light and strong frame with Ebe signature comfort fit bridge for easy all day use without hot spots. We design and produce all of our frames and lenses in our FDA listed Labs. Lenses Include Anti-Glare and Anti-Reflective Coating. You will Love your New Glasses and we Guarantee it 100%. We do not sell Cheap &quot;drug store&quot; reading glasses. Lens Width=45, Lens Height=32, Bridge Width=16, Temple Length=121, Frame Width=112 ",33.99,33.99,False,https://www.walmart.com/ip/Eye-Buy-Express-Kids-Childrens-Reading-Glasses-Pink-Oval-Round-Rectangular-Anti-Glare-grade-sk9019/199707493
